Feature,Count of -999
c1,0
c2,0
c3,0
c4,0
c5,0
c6,0
c7,0
c8,0
c9,0
c10,0
c11,0
c12,0
c13,0
c14,0
c15,0
c16,0
c17,0
c18,0
c19,0
c20,0
c21,0
c22,0
c23,0
c24,0
c25,0
c26,0
c27,0
c28,0
c29,0
c30,0
c31,0
c32,0
c33,0
c34,0
c35,0
c36,0
c37,0
c38,0
c39,0
c40,0
c41,0
c42,0
c43,0
c44,0
c45,0
c46,0
c47,0
c48,0
c49,0
c50,0
c51,0
c52,0
c53,0
c54,0
c55,0
c56,0
c57,13
c58,0
c59,33
c60,0
c61,0
c62,0
c63,0
c64,0
c65,0
c66,0
c67,0
c68,0
c69,0
c70,0
c71,0
c72,0
c73,0
c74,0
c75,0
c76,0
c77,0
c78,0
c79,0
c80,0
c81,0
c82,7
c83,0
c84,0
c85,0
c86,0
c87,0
c88,3
c89,0
c90,0
c91,0
c92,0
c93,0
c94,0
c95,0
c96,3
c97,3
c98,0
c99,0
c100,0
c101,0
c102,3
c103,0
c104,0
c105,0
c106,0
c107,0
c108,0
c109,0
c110,7
c111,0
c112,0
c113,7
c114,0
c115,0
c116,0
c117,0
c118,13
c119,0
c120,0
c121,0
c122,0
c123,0
c124,0
c133,5
c134,1
c135,0
c136,1
c137,0
c138,0
c139,0
c140,0
c141,0
c142,0
c143,0
c144,0
c145,0
c146,0
c147,0
c148,1
c149,38
c125,0
c126,0
c127,0
c128,0
c129,0
c130,1
c131,0
c132,0
c150,0
c151,0
c152,0
c153,1
c154,0
c155,0
c156,0
c157,0
c158,0
c159,0
c160,0
c161,0
c162,0
c163,0
c164,0
c165,0
c166,2
c167,0
c168,0
c169,0
c170,0
c171,0
c172,0
c173,0
c174,0
c175,0
c176,0
c177,0
c178,0
c179,0
c180,0
c181,0
c182,0
c183,0
c184,0
c185,0
c186,0
c187,0
c188,954
c189,954
c190,954
c191,0
c192,0
c193,13
c194,0
c195,0
c196,0
c197,13
c198,0
c199,1025
c200,0
c201,0
c202,1025
c203,0
c204,1025
c205,0
c206,954
c207,483
c208,483
c209,483
c210,483
c211,483
c212,488
c213,483
c214,483
c215,483
c216,483
c217,483
c218,483
c219,483
c220,483
c221,483
c222,483
c223,573
c224,0
c225,0
c226,1025
c227,0
c228,0
c229,1025
c230,1
c231,707
c232,707
c233,707
c234,707
c235,1
c236,0
c237,0
c238,0
c239,0
c241,0
